iter	RMSE
0	0.1349676673
1	0.1334026088
2	0.1321081919
3	0.1310222145
4	0.1301122797
5	0.1293252806
6	0.1286629521
7	0.1280988927
8	0.1276049161
9	0.1272001744
10	0.1268639415
11	0.1265606289
12	0.1263158608
13	0.1260963281
14	0.125901445
15	0.1257352775
16	0.1255847616
17	0.1254664581
18	0.1253604491
19	0.1252674634
20	0.125179466
21	0.1250975912
22	0.1250345116
23	0.1249725939
24	0.1249114692
