iter	Passed	Remaining
0	71	1705
1	131	1516
2	192	1414
3	248	1306
4	302	1209
5	367	1164
6	429	1104
7	484	1029
8	545	969
9	610	916
10	663	844
11	721	781
12	776	716
13	840	660
14	905	603
15	970	545
16	1034	486
17	1086	422
18	1140	360
19	1195	298
20	1249	237
21	1308	178
22	1366	118
23	1419	59
24	1479	0
